,CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,SEASON,GAME_DATE,GAME_ID,HOME_FLAG,AWAY_FLAG,HOME_WIN_PCTG,AWAY_WIN_PCTG,TOTAL_WIN_PCTG,ROLLING_SCORING_MARGIN,ROLLING_OE,NUM_REST_DAYS
89,OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,1,2,1,5,240,0,45,84,0.536,10,30,0.333,20,22,0.909,7,37,46,21,21,9,16,4,120,46.0,120.0,0,0.5789473684210527,3.0,2022-23,2023-01-04,0022200575,0,1,0.5789473684210527,0.3684210526315789,0.47368421052631576,-2.6666666666666665,0.5806556024562629,2.0
90,Golden State,Warriors,1610612744,1,0,1,0,0,0,0,7,1,5,290,0,54,121,0.446,19,59,0.322,16,24,0.667,23,46,76,34,23,9,19,6,143,76.0,143.0,0,0.5827814569536424,2.0,2022-23,2023-01-02,0022200558,1,0,0.8947368421052632,0.15789473684210525,0.5263157894736842,4.333333333333333,0.5738787122521993,3.0
91,OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,0,7,1,5,290,0,53,109,0.486,11,35,0.314,24,29,0.828,10,43,60,30,17,9,13,10,141,60.0,141.0,0,0.5845070422535211,-2.0,2022-23,2023-01-02,0022200558,0,1,0.5789473684210527,0.3333333333333333,0.4594594594594595,-4.0,0.5781493367921025,3.0
92,Atlanta,Hawks,1610612737,0,1,0,1,0,0,0,5,1,5,240,0,48,101,0.475,11,38,0.289,14,20,0.7,12,29,46,22,19,6,10,5,121,46.0,121.0,1,0.5785123966942148,-9.0,2022-23,2022-12-30,0022200530,1,0,0.5789473684210527,0.35294117647058826,0.4722222222222222,-8.333333333333334,0.5746180038670157,2.0
93,OPPONENTS, Lakers,1610612747,1,0,0,0,1,0,0,4,1,5,240,0,52,96,0.542,10,32,0.313,16,18,0.889,12,43,59,34,17,7,16,6,130,59.0,130.0,0,0.6417910447761194,9.0,2022-23,2022-12-30,0022200530,0,1,0.5,0.35,0.4166666666666667,4.666666666666667,0.5987509956777791,2.0
94,Atlanta,Hawks,1610612737,0,1,0,1,0,0,1,9,1,5,240,0,42,97,0.433,8,22,0.364,15,22,0.682,11,36,56,22,14,5,4,6,107,56.0,107.0,0,0.5714285714285714,-1.0,2022-23,2022-12-28,0022200517,1,0,0.6111111111111112,0.35294117647058826,0.4857142857142857,3.0,0.5976275328377966,1.0
95,OPPONENTS, Nets,1610612751,1,0,0,0,1,0,0,3,1,5,240,0,42,83,0.506,10,26,0.385,14,17,0.824,5,42,50,22,18,0,12,13,108,50.0,108.0,0,0.5714285714285714,1.0,2022-23,2022-12-28,0022200517,0,1,0.7058823529411765,0.6111111111111112,0.6571428571428571,9.0,0.6037211632620528,2.0
96,Indiana,Pacers,1610612754,1,0,1,0,0,0,3,9,1,5,240,0,47,92,0.511,13,35,0.371,22,27,0.815,7,42,58,28,16,3,13,2,129,58.0,129.0,1,0.5952380952380952,15.0,2022-23,2022-12-27,0022200508,1,0,0.5882352941176471,0.4444444444444444,0.5142857142857142,-0.6666666666666666,0.5591593162542202,1.0
97,OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,0,6,1,5,240,0,40,89,0.449,12,30,0.4,22,29,0.759,9,33,48,26,19,4,9,3,114,48.0,114.0,1,0.5739130434782609,-15.0,2022-23,2022-12-27,0022200508,0,1,0.6470588235294118,0.35294117647058826,0.5,2.6666666666666665,0.5780196897005416,4.0
98,Atlanta,Hawks,1610612737,1,0,1,0,0,0,0,3,1,5,240,0,49,92,0.533,12,34,0.353,20,24,0.833,8,40,51,30,20,10,8,8,130,51.0,130.0,0,0.6475409836065574,25.0,2022-23,2022-12-23,0022200481,1,0,0.6470588235294118,0.375,0.5151515151515151,8.0,0.5888150794072631,2.0
99,OPPONENTS, Pistons,1610612765,0,1,0,0,0,1,0,13,1,5,240,0,37,90,0.411,9,33,0.273,22,29,0.759,9,34,56,17,19,7,14,3,105,56.0,105.0,0,0.48214285714285715,-25.0,2022-23,2022-12-23,0022200481,0,1,0.25,0.21052631578947367,0.22857142857142856,-20.0,0.5011904761904762,2.0
100,Atlanta,Hawks,1610612737,0,1,0,1,0,0,0,4,1,5,240,0,39,91,0.429,14,37,0.378,16,16,1.0,9,38,51,22,15,6,15,7,108,51.0,108.0,0,0.5126050420168067,-2.0,2022-23,2022-12-21,0022200468,1,0,0.625,0.375,0.5,6.0,0.5729680848717439,2.0
101,OPPONENTS, Bulls,1610612741,1,0,0,0,1,0,0,2,1,5,240,0,43,86,0.5,7,24,0.292,17,22,0.773,8,39,49,20,15,9,11,4,110,49.0,110.0,0,0.5779816513761468,2.0,2022-23,2022-12-21,0022200468,0,1,0.5,0.35294117647058826,0.41935483870967744,-4.0,0.5953684522047943,1.0
102,Atlanta,Hawks,1610612737,1,0,1,0,0,0,0,6,1,5,240,0,48,94,0.511,12,32,0.375,18,20,0.9,6,35,47,29,18,7,10,3,126,47.0,126.0,0,0.6062992125984252,1.0,2022-23,2022-12-19,0022200454,1,0,0.6666666666666666,0.375,0.5161290322580645,3.0,0.607655293088364,3.0
103,OPPONENTS, Magic,1610612753,0,1,0,0,0,1,0,8,1,5,240,0,45,95,0.474,12,34,0.353,23,25,0.92,10,35,53,29,17,8,8,8,125,53.0,125.0,0,0.6065573770491803,-1.0,2022-23,2022-12-19,0022200454,0,1,0.47058823529411764,0.2,0.34375,3.3333333333333335,0.5384689781904347,1.0
104,Charlotte,Hornets,1610612766,0,1,0,1,0,0,1,15,1,5,240,0,39,98,0.398,15,43,0.349,13,19,0.684,15,28,58,26,25,8,13,5,106,58.0,106.0,0,0.5327868852459017,-19.0,2022-23,2022-12-16,0022200428,1,0,0.26666666666666666,0.21428571428571427,0.2413793103448276,-14.666666666666666,0.532891963987352,2.0
105,OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,2,6,1,5,240,0,41,75,0.547,15,29,0.517,28,34,0.824,4,37,47,25,22,3,14,5,125,47.0,125.0,0,0.6,19.0,2022-23,2022-12-16,0022200428,0,1,0.6428571428571429,0.375,0.5,-5.666666666666667,0.563888888888889,2.0
106,Orlando,Magic,1610612753,1,0,1,0,0,0,3,8,1,5,240,0,47,93,0.505,16,36,0.444,25,30,0.833,14,32,54,28,22,10,14,6,135,54.0,135.0,0,0.6198347107438017,11.0,2022-23,2022-12-14,0022200416,1,0,0.47058823529411764,0.08333333333333333,0.3103448275862069,9.0,0.5895844841841505,3.0
107,OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,0,5,1,5,240,0,44,88,0.5,12,35,0.343,24,27,0.889,11,28,44,30,21,2,13,6,124,44.0,124.0,0,0.6166666666666667,-11.0,2022-23,2022-12-14,0022200416,0,1,0.6428571428571429,0.3333333333333333,0.4827586206896552,-11.666666666666666,0.5518588137009189,2.0
108,Memphis,Grizzlies,1610612763,1,0,1,0,0,0,1,11,1,5,240,0,50,83,0.602,13,32,0.406,15,18,0.833,5,44,60,36,17,8,23,12,128,60.0,128.0,0,0.6277372262773723,25.0,2022-23,2022-12-12,0022200404,1,0,0.8571428571428571,0.46153846153846156,0.6666666666666666,19.0,0.6102890006453437,3.0
109,OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,1,9,1,5,240,0,37,104,0.356,12,37,0.324,17,22,0.773,20,19,48,20,17,13,16,1,103,48.0,103.0,0,0.475,-25.0,2022-23,2022-12-12,0022200404,0,1,0.6428571428571429,0.35714285714285715,0.5,-9.333333333333334,0.5324143692564746,1.0
110,Atlanta,Hawks,1610612737,1,0,1,0,0,0,1,8,1,5,265,0,47,98,0.48,13,39,0.333,16,21,0.762,8,37,53,28,22,3,15,6,123,53.0,123.0,0,0.5639097744360902,1.0,2022-23,2022-12-11,0022200400,1,0,0.6428571428571429,0.38461538461538464,0.5185185185185185,-9.0,0.5324968775072997,2.0
111,OPPONENTS, Bulls,1610612741,0,1,0,0,0,1,1,6,1,5,265,0,48,100,0.48,7,27,0.259,19,23,0.826,13,40,59,28,21,11,19,6,122,59.0,122.0,0,0.5671641791044776,-1.0,2022-23,2022-12-11,0022200400,0,1,0.5833333333333334,0.2857142857142857,0.4230769230769231,10.666666666666666,0.6097943809787815,1.0
112,Brooklyn,Nets,1610612751,1,0,1,0,0,0,0,8,1,5,240,0,45,83,0.542,13,30,0.433,17,21,0.81,9,29,46,30,18,10,21,5,120,46.0,120.0,0,0.6,4.0,2022-23,2022-12-09,0022200380,1,0,0.6666666666666666,0.4166666666666667,0.5555555555555556,-0.3333333333333333,0.5805714285714285,2.0
113,OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,0,7,1,5,240,0,46,93,0.495,10,29,0.345,14,16,0.875,12,26,45,21,18,12,18,4,116,45.0,116.0,0,0.5583333333333333,-4.0,2022-23,2022-12-09,0022200380,0,1,0.6153846153846154,0.38461538461538464,0.5,-11.666666666666666,0.5230046429839834,2.0
114,New York,Knicks,1610612752,1,0,1,0,0,0,0,5,1,5,240,0,37,83,0.446,17,36,0.472,22,24,0.917,13,42,60,26,23,6,14,2,113,60.0,113.0,0,0.5727272727272728,24.0,2022-23,2022-12-07,0022200365,1,0,0.46153846153846156,0.5,0.48,4.666666666666667,0.5120650953984288,3.0
115,OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,0,7,1,5,240,0,32,85,0.376,6,36,0.167,19,24,0.792,11,28,46,16,17,4,11,6,89,46.0,89.0,1,0.4752475247524752,-24.0,2022-23,2022-12-07,0022200365,0,1,0.6153846153846154,0.4166666666666667,0.52,-7.666666666666667,0.5541554366347771,2.0
116,Atlanta,Hawks,1610612737,0,1,0,1,0,0,0,7,1,5,240,0,44,102,0.431,13,38,0.342,13,17,0.765,17,37,61,24,24,7,18,4,114,61.0,114.0,1,0.5354330708661418,-7.0,2022-23,2022-12-05,0022200354,1,0,0.6153846153846154,0.45454545454545453,0.5416666666666666,6.0,0.6122638115748352,3.0
117,OPPONENTS, Thunder,1610612760,1,0,0,0,1,0,0,5,1,5,240,0,43,95,0.453,12,34,0.353,23,24,0.958,14,35,54,25,19,8,16,4,121,54.0,121.0,0,0.5573770491803278,7.0,2022-23,2022-12-05,0022200354,0,1,0.5454545454545454,0.38461538461538464,0.4583333333333333,7.333333333333333,0.5806353554621702,2.0
118,Atlanta,Hawks,1610612737,1,0,1,0,0,0,0,7,1,5,240,0,49,88,0.557,10,28,0.357,9,14,0.643,12,31,50,24,14,7,12,3,117,50.0,117.0,0,0.6517857142857143,8.0,2022-23,2022-12-02,0022200327,1,0,0.6666666666666666,0.45454545454545453,0.5652173913043478,7.333333333333333,0.6212861212861213,2.0
119,OPPONENTS, Nuggets,1610612743,0,1,0,0,0,1,1,7,1,5,240,0,45,85,0.529,12,32,0.375,7,13,0.538,9,24,40,31,12,8,16,0,109,40.0,109.0,0,0.6178861788617886,-8.0,2022-23,2022-12-02,0022200327,0,1,0.75,0.5714285714285714,0.6363636363636364,9.333333333333334,0.6417882704468071,2.0
120,Orlando,Magic,1610612753,0,1,0,1,0,0,0,4,1,5,240,0,39,79,0.494,8,27,0.296,22,25,0.88,6,27,37,26,21,5,18,3,108,37.0,108.0,1,0.5555555555555556,-17.0,2022-23,2022-11-30,0022200313,1,0,0.3333333333333333,0.1,0.22727272727272727,-18.0,0.5339519404511259,2.0
121,OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,0,4,1,5,240,0,51,94,0.543,8,32,0.25,15,19,0.789,14,35,53,25,17,8,12,3,125,53.0,125.0,0,0.6495726495726496,17.0,2022-23,2022-11-30,0022200313,0,1,0.6363636363636364,0.45454545454545453,0.5454545454545454,2.0,0.5735644464092741,2.0
122,Philadelphia,76ers,1610612755,1,0,1,0,0,0,0,4,1,5,240,0,39,86,0.453,10,28,0.357,16,18,0.889,10,27,41,23,19,10,12,3,104,41.0,104.0,0,0.5585585585585585,3.0,2022-23,2022-11-28,0022200299,1,0,0.5833333333333334,0.5555555555555556,0.5714285714285714,13.666666666666666,0.6098174568762804,1.0
